ArtikkelNr;Beskr;LevNr;LevKod;LevFargKod;Sasong;KjedeInnkPris;TotalLagerBeh;RegistrertDato;SistEndretDato;Antall;But. med lager;Lager ant. pr. butikk;Strekkoder
9802707;14OZ VINTAGE DENIM REGULAR JEA;40;100005;970;201101;226,61;2;13/07/06;30/03/20;3;1;2;7322621907807,7322621919695,7322621921308,7322621922916,7322621924521,7322621927744,7322621932823,7322621934704,7322621942990,7322621945038,7322621946981,7322621949685,7322621951565,7322621953170,7322621955006,7322621956904,7322621970146,7322621971754,7322621973451,7322621975172,7322621976780,7322621978494,7322621983566,7322621985171,7322621994838,7322621999666,7322622001276,7322622002884,7322622006103
9801029;14 OZ VINTAGE DENIM REGULAR JE;40;100005;970;201601;0;66;13/10/05;30/03/20;3;1;66;7322621907425,7322621907432,7322621907463,7322621907487,7322621907494,7322621907500,7322621907524,7322621907548,7322621907562,7322621907579,7322621907593,7322621907609,7322621907647,7322621907661,7322621907678,7322621907685,7322621907739,7322621907753,7322621907760,7322621907814,7322621907821,7322621907838,7322621907845,7322621907852,7322621907869,7322621907876,7322621907883,7322621907913,7322621907937,7322621907944,7322621907951,7322621907975,7322622810335,7322622810373,7322622810434,7322622810588,7322622811271,7322622811363,7322622811431,7322622811462,7322622811509,7322622811554,7322622811578,7322622811707,7322622811752,7322622811776,7322622811837,7322622811875,7322622811899,7322622812612,7322622812834,7322622813183,7322622813268,7322622813428,7322622813558,7322622813749,7322622813787,7322622813961,7322622814005
9803926;G.N.H. 14OZ REGULAR VINTAGE DENIM JEANS;40;100005;970;201703;0;202;22/01/07;30/03/20;3;1;202;7322623527423,7322623529847,7322623532052,7322623534339,7322623536692,7322623538979,7322623543447,7322623555921,7322623558441,7322623561090,7322623563674,7322623566309,7322623568884,7322623571495,7322623574120,7322623576612,7322623594579,7322623597013,7322623599352,7322623601550,7322623604179,7322623608177,7322623610378,7322623615021,7322623649606,7322623652491,7322623655225,7322623658356,7322623663213,7322626797649,7322626797656,7322626797687,7322626797694,7322626797755,7322626797984,7322626798073
9851730;O1. TAPERED SATIN JEANS;40;1000143;433;201803;204,92;2;13/07/18;05/03/20;2;13|20;1|1;7325702643625,7325702643632,7325702643649,7325702643656,7325702643663,7325702643670,7325702643748,7325702643755,7325702643762,7325702643779,7325702643786,7325702643793,7325702643809,7325702643816,7325702643823,7325702643908,7325702643915,7325702643922,7325702643939,7325702643946,7325702643953,7325702643960,7325702643977,7325702644066,7325702644073,7325702644080,7325702644097,7325702644103,7325702644110
9853502;O1. TAPERED SATIN JEANS;40;1000143;433;201803;204,92;0;16/11/18;07/11/19;2;;;7325702643984
9860915;D1. SLIM CORD JEANS;40;1000248;410;202003;226,61;150;04/09/20;30/11/20;2;2|3|6|16;31|2|37|80;7325705835515,7325705835539,7325705835546,7325705835553,7325705835560,7325705835577,7325705835584,7325705835591,7325705835607,7325705835614,7325705835621,7325705835638,7325705835645,7325705835652,7325705835669,7325705835676,7325705835690,7325705835706,7325705835713,7325705835720,7325705835737,7325705835744,7325705835751,7325705835768,7325705835775,7325705835782,7325705835799,7325705835805,7325705835812,7325705835829,7325705835836
9861641;D1. SLIM CORD JEANS;40;1000248;410;202003;226,61;1;19/10/20;19/10/20;2;2;1;7325705835843
9804245;G.N.H. WHITE SUMMER COLOUR STITCH ORIGINAL JEANS;40;100101;110;201701;0;0;16/02/07;30/03/20;2;;;0200001107627,0200001107634,7322623558458,7322623561106,7322623563681,7322623566316,7322623568891,7322623571501,7322623574137,7322623576629,7322623597020,7322623599369,7322623601567,7322623604186,7322623608184,7322623610385,7322623615038,7322623649613,7322623652507,7322623655232
9806752;G.N.H. WHITE SUMMER JEANS TYLER;40;100101;110;201801;0;11;21/01/08;30/03/20;2;1;11;7322625322989,7322625322996,7322625323009,7322625323016,7322625323023,7322625323030,7322625323047,7322625323054,7322625323139,7322625323146,7322625323153,7322625323160,7322625323177,7322625323184
9811752;THUNDERSTONE JEANS T.;40;100301;973;200001;0;41;26/01/10;30/03/20;3;1;41;0200001008986,7322620475048,7322620475086,7322620475109,7322620475277,7322620475284,7322620475307,7322620475314,7322620475710,7322620475727,7322620475741,7322620475758,7322620475765,7322620475789,7322620475796,7322620475802,7322620475826,7322620475833,7322620476823,7322620476861,7322620476878,7322620476885,7322620476892,7322620476908,7322620476915,7322620476953,7322620476991,7322620478445,7322620478452,7322620478469,7322620478490,7322620478513,7322620478520,7322620478605
