ArtikkelNr;Varetekst;LevKod;LevFargKod;Sesong;MainGroup;MainGrpTekst;ArtGroup;ArtGrpTekst;VVarekostL10;AntL10;VerdiL10;VVarekostL40;AntL40;VerdiL40;TotAnt;TotVerdi;LC;VerdiLCL10;VerdiLCL40
10193;DETROIT LADY;GT035005;0;201703;1;Klokker;92;WATCHES;595;4;2380;595;0;0;4;2380;0;0;0
10205;James;17651960;G00;201803;50;Sko;91;SHOES;480,62;0;0;480,62;3;1441,86;3;1441,86;0;0;0
10209;WILMER;GT079002;;201803;1;Klokker;92;WATCHES;586,3;0;0;586,3;2;1172,6;2;1172,6;0;0;0
10216;KEY WEST PAISLEY PILLOWCASE;851005401;230;201903;1010;D/D SOLID;90;HOME;189;1;189;189;0;0;1;189;71,03;71,03;0
10217;KEY WEST PAISLEY PILLOWCASE 70x100;851005401;612;201903;1010;D/D SOLID;90;HOME;138;0;0;138;27;3726;27;3726;71,03;0;1917,81
10218;4-PACK TRUNK COTTON STR;901734003;405;201903;220;GANT UNDERWEAR;80;GANT UNDERWEAR;149,85;433;64885,05;149,85;345;51698,25;778;116583,3;94,34;40849,22;32547,3
10225;OSCAR;17653903;G46;201803;50;Sko;91;SHOES;480,63;1;480,63;480,63;51;24512,13;52;24992,76;666;666;33966
10226;Spencer;17651886;G46;201803;50;Sko;91;SHOES;476,78;44;20978,32;476,78;38;18117,64;82;39095,96;0;0;0
10227;Spencer;17651886;G00;201803;50;Sko;91;SHOES;469,09;0;0;469,09;13;6098,17;13;6098,17;0;0;0
10228;Spencer;17653888;G00;201803;50;Sko;91;SHOES;480,62;0;0;480,62;9;4325,58;9;4325,58;0;0;0
10229;Spencer;17653888;G46;201803;50;Sko;91;SHOES;426,33;1;426,33;426,33;28;11937,24;29;12363,57;0;0;0
10231;Oscar;17653903;G00;201803;50;Sko;91;SHOES;769;0;0;769;2;1538;2;1538;0;0;0
20026;TYLER;45.38034A038;209;201803;710;ACC-MEN;10;MEN;612;1;612;612;0;0;1;612;0;0;0
40041;GANT PARK HILL II;W10842;46;201201;1;Klokker;92;WATCHES;222,2;2;444,4;222,2;10;2222;12;2666,4;0;0;0
40061;GANT PARK HILL II;W10846;46;201403;1;Klokker;92;WATCHES;244,2;3;732,6;244,2;15;3663;18;4395,6;0;0;0
40069;GANT PARK HILL II;W10845;46;201203;1;Klokker;92;WATCHES;537,35;0;0;537,35;1;537,35;1;537,35;0;0;0
40114;GANT PARK HILL II MID;W10921;40;201301;1;Klokker;92;WATCHES;808;25;20200;808;0;0;25;20200;0;0;0
40116;GANT PARK HILL II MID;W10924;46;201301;1;Klokker;92;WATCHES;888;20;17760;888;0;0;20;17760;0;0;0
40118;GANT PARK HILL II MID;W10925;205;201301;1;Klokker;92;WATCHES;888;11;9768;888;0;0;11;9768;0;0;0
40156;GANT D BIC M/L BYRON HVIT PKT/STEINER Ø39;W70533;110;201303;1;Klokker;92;WATCHES;743,2;0;0;743,2;1;743,2;1;743,2;0;0;0
40159;GANT STL LAUDERDALE SILVER IND M/HVIT REM;W70481;101;201303;1;Klokker;92;WATCHES;762;0;0;762;2;1524;2;1524;0;0;0
40173;GANT H STL ICON VINTAGE;W70462;5;201303;1;Klokker;92;WATCHES;575,2;6;3451,2;575,2;0;0;6;3451,2;0;0;0
40232;GANT D STL PARK HILL II MID BLÅ IND SORT REM Ø38;W10927;BLÅ IND SORT;201403;1;Klokker;92;WATCHES;575,2;3;1725,6;575,2;0;0;3;1725,6;0;0;0
40234;GANT H STL M/L VERMONT CHRONO SILVER IND Ø43;W70405;;201403;1;Klokker;92;WATCHES;884,8;0;0;884,8;2;1769,6;2;1769,6;0;0;0
40287;Bryant Sneaker;PH33547;110;201501;50;Sko;91;SHOES;533,37;0;0;533,37;1;533,37;1;533,37;0;0;0
40291;GANT PARK HILL II;W108410;51;201501;1;Klokker;92;WATCHES;222,2;3;666,6;222,2;11;2444,2;14;3110,8;0;0;0
40301;GANT D STL PARK HILL II MID SILVER IND BLÅ REM Ø38;W109212;101;201501;1;Klokker;92;WATCHES;609,6;6;3657,6;609,6;0;0;6;3657,6;0;0;0
40302;GANT D STL PARK HILL II MID SILVER TURKIS REM Ø38;W109213;101;201501;1;Klokker;92;WATCHES;609,6;5;3048;609,6;21;12801,6;26;15849,6;0;0;0
40304;GANT D STL M/L PARK HILL II MID M.BLÅ IND Ø38;W109215;405;201501;1;Klokker;92;WATCHES;778,4;2;1556,8;778,4;0;0;2;1556,8;0;0;0
40314;BREEZE;PH98646-G00;5;201501;50;Sko;91;SHOES;167;1;167;167;0;0;1;167;0;0;0
40321;Gant D Park Hill Mid Silver Corall;W109214;101;201501;1;Klokker;92;WATCHES;677,6;3;2032,8;677,6;0;0;3;2032,8;0;0;0
40400;GANT PARK HILL 32;W11401;46;201503;1;Klokker;92;WATCHES;637;2;1274;637;0;0;2;1274;0;0;0
40403;GANT PARK HILL 32;W11402;46;201503;1;Klokker;92;WATCHES;374;3;1122;374;0;0;3;1122;0;0;0
40456;Zoe;14538641;405;201701;50;Sko;91;SHOES;433;0;0;433;1;433;1;433;0;0;0
40472;GANT PARK HILL 32;W11403;110;201601;1;Klokker;92;WATCHES;420,75;7;2945,25;420,75;1;420,75;8;3366;0;0;0
40479;FITTED SATEEN SHEET;851006306;110;201703;1010;D/D SOLID;90;HOME;327;1;327;327;0;0;1;327;160,72;160,72;0
40496;GANT D DBL LAUDERDALE SILVER IND;W70485;101;201403;1;Klokker;92;WATCHES;1190;0;0;1190;1;1190;1;1190;0;0;0
40513;BETTY;13523330-G00;5;201603;50;Sko;91;SHOES;600;4;2400;600;3;1800;7;4200;0;0;0
40514;BETTY;13523330-G503;PURPLE;201603;50;Sko;91;SHOES;600;0;0;600;5;3000;5;3000;0;0;0
40539;JENNIFER;13581365-G00;5;201603;50;Sko;91;SHOES;933;0;0;933;2;1866;2;1866;0;0;0
40546;JENNIFER;13553361-G45;710;201603;50;Sko;91;SHOES;600;0;0;600;1;600;1;600;0;0;0
40562;GANT D IPR STANDFORD LADY SILVER IND BRUN REM Ø36;GT021003;205;201603;1;Klokker;92;WATCHES;612;42;25704;612;17;10404;59;36108;0;0;0
40592;STANFORD LADY;GT021004;110;201801;1;Klokker;92;WATCHES;765;4;3060;765;0;0;4;3060;0;0;0
